tile,x,y,prediction,confidence
tile_0_level0_0-0-512-512.png,0,0,0,0.48321
tile_1_level0_0-512-512-1024.png,0,512,0,0.52496
tile_2_level0_0-1024-512-1536.png,0,1024,0,0.51154
tile_3_level0_0-1536-512-2048.png,0,1536,0,0.51216
tile_4_level0_0-2048-512-2560.png,0,2048,0,0.53145
tile_5_level0_0-2560-512-3072.png,0,2560,0,0.51373
tile_6_level0_0-3072-512-3584.png,0,3072,0,0.51037
tile_7_level0_0-3584-512-4096.png,0,3584,0,0.52770
tile_8_level0_0-4096-512-4608.png,0,4096,0,0.49559
tile_9_level0_0-4608-512-5120.png,0,4608,0,0.52806
tile_10_level0_0-5120-512-5632.png,0,5120,0,0.50821
tile_11_level0_0-5632-512-6144.png,0,5632,0,0.50956
tile_12_level0_0-6144-512-6656.png,0,6144,0,0.49194
tile_13_level0_0-6656-512-7168.png,0,6656,0,0.49515
tile_14_level0_0-7168-512-7680.png,0,7168,0,0.49848
tile_15_level0_0-7680-512-8192.png,0,7680,0,0.45226
tile_16_level0_0-8192-512-8704.png,0,8192,0,0.38794
tile_17_level0_0-8704-512-9216.png,0,8704,0,0.27289
tile_18_level0_0-9216-512-9728.png,0,9216,0,0.40421
tile_19_level0_0-9728-512-10240.png,0,9728,0,0.67367
tile_20_level0_0-10240-512-10752.png,0,10240,0,0.85368
tile_21_level0_0-10752-512-11264.png,0,10752,1,0.50964
tile_22_level0_0-11264-512-11776.png,0,11264,1,0.72059
tile_23_level0_0-11776-512-12288.png,0,11776,1,0.62166
tile_24_level0_0-12288-512-12800.png,0,12288,1,0.49877
tile_25_level0_0-12800-512-13312.png,0,12800,0,0.59551
tile_26_level0_0-13312-512-13824.png,0,13312,0,0.52087
tile_27_level0_0-13824-512-14336.png,0,13824,1,0.73174
tile_28_level0_0-14336-512-14848.png,0,14336,1,0.52528
tile_29_level0_0-14848-512-15360.png,0,14848,0,0.51757
tile_30_level0_0-15360-512-15872.png,0,15360,1,0.69324
tile_31_level0_0-15872-512-16384.png,0,15872,1,0.55871
tile_32_level0_0-16384-512-16896.png,0,16384,1,0.53945
tile_33_level0_0-16896-512-17408.png,0,16896,1,0.79811
tile_34_level0_0-17408-512-17920.png,0,17408,1,0.70414
tile_35_level0_0-17920-512-18432.png,0,17920,1,0.74928
tile_36_level0_0-18432-512-18944.png,0,18432,1,0.78416
tile_37_level0_0-18944-512-19456.png,0,18944,1,0.81051
tile_38_level0_0-19456-512-19968.png,0,19456,1,0.94277
tile_39_level0_0-19968-512-20480.png,0,19968,1,0.62013
tile_40_level0_0-20480-512-20992.png,0,20480,1,0.88245
tile_41_level0_0-20992-512-21504.png,0,20992,1,0.97112
tile_42_level0_0-21504-512-22016.png,0,21504,1,0.96076
tile_43_level0_0-22016-512-22528.png,0,22016,1,0.79487
tile_44_level0_0-22528-512-23040.png,0,22528,1,0.68984
tile_45_level0_0-23040-512-23552.png,0,23040,1,0.70827
tile_46_level0_0-23552-512-24064.png,0,23552,1,0.82887
tile_47_level0_0-24064-512-24576.png,0,24064,1,0.91067
tile_48_level0_0-24576-512-25088.png,0,24576,1,0.82213
tile_49_level0_0-25088-512-25600.png,0,25088,1,0.84356
tile_50_level0_0-25600-512-26112.png,0,25600,1,0.91355
tile_51_level0_0-26112-512-26624.png,0,26112,1,0.83763
tile_52_level0_0-26624-512-27136.png,0,26624,1,0.84264
tile_53_level0_0-27136-512-27648.png,0,27136,1,0.81257
tile_54_level0_0-27648-512-28160.png,0,27648,1,0.81626
tile_55_level0_0-28160-512-28672.png,0,28160,1,0.83100
tile_56_level0_0-28672-512-29184.png,0,28672,1,0.81787
tile_57_level0_0-29184-512-29696.png,0,29184,1,0.88838
tile_58_level0_0-29696-512-30208.png,0,29696,1,0.79510
tile_59_level0_0-30208-512-30720.png,0,30208,1,0.68750
tile_60_level0_0-30720-512-31232.png,0,30720,1,0.84876
tile_61_level0_0-31232-512-31744.png,0,31232,1,0.82552
tile_62_level0_0-31744-512-32256.png,0,31744,1,0.81341
tile_63_level0_0-32256-512-32768.png,0,32256,1,0.93306
tile_64_level0_0-32768-512-33280.png,0,32768,1,0.94997
tile_65_level0_0-33280-512-33792.png,0,33280,1,0.75432
tile_66_level0_0-33792-512-34304.png,0,33792,1,0.69759
tile_67_level0_0-34304-512-34816.png,0,34304,1,0.60150
tile_68_level0_0-34816-512-35328.png,0,34816,1,0.68346
tile_69_level0_0-35328-512-35840.png,0,35328,0,0.73769
tile_70_level0_0-35840-512-36352.png,0,35840,1,0.50380
tile_71_level0_0-36352-512-36864.png,0,36352,0,0.50141
tile_72_level0_0-36864-512-37376.png,0,36864,1,0.73340
tile_73_level0_0-37376-512-37888.png,0,37376,1,0.53955
tile_74_level0_0-37888-512-38400.png,0,37888,1,0.70834
tile_75_level0_0-38400-512-38912.png,0,38400,1,0.62513
tile_76_level0_0-38912-512-39424.png,0,38912,1,0.67696
tile_77_level0_0-39424-512-39936.png,0,39424,1,0.61585
tile_78_level0_0-39936-512-40448.png,0,39936,1,0.83918
tile_79_level0_0-40448-512-40960.png,0,40448,1,0.57530
tile_80_level0_0-40960-512-41472.png,0,40960,1,0.74972
tile_81_level0_0-41472-512-41984.png,0,41472,1,0.60495
tile_82_level0_0-41984-512-42496.png,0,41984,1,0.55712
tile_83_level0_0-42496-512-43008.png,0,42496,1,0.55361
tile_84_level0_0-43008-512-43520.png,0,43008,1,0.50947
tile_85_level0_0-43520-512-44032.png,0,43520,0,0.50351
tile_86_level0_0-44032-512-44544.png,0,44032,0,0.69440
tile_87_level0_0-44544-512-45056.png,0,44544,1,0.74678
tile_88_level0_0-45056-512-45568.png,0,45056,1,0.83977
tile_89_level0_0-45568-512-46080.png,0,45568,1,0.81451
tile_90_level0_0-46080-512-46592.png,0,46080,1,0.75242
tile_91_level0_0-46592-512-47104.png,0,46592,1,0.85409
tile_92_level0_0-47104-512-47616.png,0,47104,1,0.86466
tile_93_level0_0-47616-512-48128.png,0,47616,1,0.91969
tile_94_level0_0-48128-512-48640.png,0,48128,1,0.95505
tile_95_level0_0-48640-512-49152.png,0,48640,1,0.81547
tile_96_level0_0-49152-512-49664.png,0,49152,1,0.76536
tile_97_level0_0-49664-512-50176.png,0,49664,1,0.76520
tile_98_level0_0-50176-512-50688.png,0,50176,1,0.94411
tile_99_level0_0-50688-512-51200.png,0,50688,1,0.95427
tile_100_level0_0-51200-512-51712.png,0,51200,1,0.81305
tile_101_level0_0-51712-512-52224.png,0,51712,1,0.74501
tile_102_level0_0-52224-512-52736.png,0,52224,1,0.64803
tile_103_level0_0-52736-512-53248.png,0,52736,1,0.74940
tile_104_level0_0-53248-512-53760.png,0,53248,1,0.78073
tile_105_level0_0-53760-512-54272.png,0,53760,0,0.53083
tile_106_level0_0-54272-512-54784.png,0,54272,1,0.55306
tile_107_level0_0-54784-512-55296.png,0,54784,1,0.59561
tile_108_level0_0-55296-512-55808.png,0,55296,0,0.61571
tile_109_level0_0-55808-512-56320.png,0,55808,1,0.52955
tile_110_level0_0-56320-512-56832.png,0,56320,1,0.56628
tile_111_level0_0-56832-512-57344.png,0,56832,1,0.74304
tile_112_level0_0-57344-512-57856.png,0,57344,0,0.51842
tile_113_level0_0-57856-512-58368.png,0,57856,1,0.61583
tile_114_level0_0-58368-512-58880.png,0,58368,1,0.69002
tile_115_level0_0-58880-512-59392.png,0,58880,1,0.52952
tile_116_level0_0-59392-512-59904.png,0,59392,1,0.65920
tile_117_level0_0-59904-512-60416.png,0,59904,1,0.71633
tile_118_level0_0-60416-512-60928.png,0,60416,0,0.52117
tile_119_level0_0-60928-512-61440.png,0,60928,0,0.53820
tile_120_level0_0-61440-512-61952.png,0,61440,0,0.69343
tile_121_level0_0-61952-512-62464.png,0,61952,0,0.80121
tile_122_level0_0-62464-512-62976.png,0,62464,0,0.54026
tile_123_level0_0-62976-512-63488.png,0,62976,1,0.59032
tile_124_level0_0-63488-512-64000.png,0,63488,1,0.79998
tile_125_level0_0-64000-512-64512.png,0,64000,1,0.79738
tile_126_level0_0-64512-512-65024.png,0,64512,0,0.66353
tile_127_level0_0-65024-512-65536.png,0,65024,0,0.52495
tile_128_level0_0-65536-512-66048.png,0,65536,1,0.62668
tile_129_level0_0-66048-512-66560.png,0,66048,1,0.70027
tile_130_level0_0-66560-512-67072.png,0,66560,1,0.95737
tile_131_level0_0-67072-512-67584.png,0,67072,1,0.98272
tile_132_level0_0-67584-512-68096.png,0,67584,1,0.85896
tile_133_level0_0-68096-512-68608.png,0,68096,1,0.98475
tile_134_level0_0-68608-512-69120.png,0,68608,1,0.96493
tile_135_level0_0-69120-512-69632.png,0,69120,1,0.82857
tile_136_level0_0-69632-512-70144.png,0,69632,1,0.55229
tile_137_level0_0-70144-512-70656.png,0,70144,1,0.56775
tile_138_level0_0-70656-512-71168.png,0,70656,1,0.49876
tile_139_level0_0-71168-512-71680.png,0,71168,1,0.69762
tile_140_level0_0-71680-512-72192.png,0,71680,1,0.66136
tile_141_level0_0-72192-512-72704.png,0,72192,1,0.61218
tile_142_level0_0-72704-512-73216.png,0,72704,1,0.97878
tile_143_level0_0-73216-512-73728.png,0,73216,1,0.71311
tile_144_level0_0-73728-512-74240.png,0,73728,0,0.63159
tile_145_level0_0-74240-512-74752.png,0,74240,0,0.70584
tile_146_level0_0-74752-512-75264.png,0,74752,0,0.62557
tile_147_level0_0-75264-512-75776.png,0,75264,0,0.63241
tile_148_level0_0-75776-512-76288.png,0,75776,0,0.55055
tile_149_level0_0-76288-512-76800.png,0,76288,1,0.64450
tile_150_level0_0-76800-512-77312.png,0,76800,0,0.57853
tile_151_level0_0-77312-512-77824.png,0,77312,0,0.56283
tile_152_level0_0-77824-512-78336.png,0,77824,0,0.50873
tile_153_level0_0-78336-512-78848.png,0,78336,0,0.59160
tile_154_level0_0-78848-512-79360.png,0,78848,1,0.55290
tile_155_level0_0-79360-512-79872.png,0,79360,1,0.59308
tile_156_level0_0-79872-512-80384.png,0,79872,1,0.62455
tile_157_level0_0-80384-512-80896.png,0,80384,0,0.62034
tile_158_level0_0-80896-512-81408.png,0,80896,1,0.50187
tile_159_level0_0-81408-512-81920.png,0,81408,1,0.53650
tile_160_level0_0-81920-512-82432.png,0,81920,1,0.52443
tile_161_level0_0-82432-512-82944.png,0,82432,0,0.54314
tile_162_level0_0-82944-512-83456.png,0,82944,0,0.53201
tile_163_level0_0-83456-512-83968.png,0,83456,1,0.69564
tile_164_level0_0-83968-512-84480.png,0,83968,1,0.61231
tile_165_level0_0-84480-512-84992.png,0,84480,0,0.52040
tile_166_level0_0-84992-512-85504.png,0,84992,1,0.66506
tile_167_level0_0-85504-512-86016.png,0,85504,1,0.89324
tile_168_level0_0-86016-512-86528.png,0,86016,1,0.93189
tile_169_level0_0-86528-512-87040.png,0,86528,1,0.54896
tile_170_level0_0-87040-512-87552.png,0,87040,0,0.56057
tile_171_level0_0-87552-512-88064.png,0,87552,1,0.66028
tile_172_level0_0-88064-512-88576.png,0,88064,1,0.77178
tile_173_level0_0-88576-512-89088.png,0,88576,1,0.83611
tile_174_level0_0-89088-512-89600.png,0,89088,1,0.84201
tile_175_level0_0-89600-512-90112.png,0,89600,1,0.97783
tile_176_level0_0-90112-512-90624.png,0,90112,1,0.96213
tile_177_level0_0-90624-512-91136.png,0,90624,1,0.79492
tile_178_level0_0-91136-512-91648.png,0,91136,1,0.63818
tile_179_level0_0-91648-512-92160.png,0,91648,1,0.57172
tile_180_level0_0-92160-512-92672.png,0,92160,1,0.84441
tile_181_level0_0-92672-512-93184.png,0,92672,0,0.81657
tile_182_level0_0-93184-512-93696.png,0,93184,0,0.71659
tile_183_level0_0-93696-512-94208.png,0,93696,0,0.44639
tile_184_level0_0-94208-512-94720.png,0,94208,0,0.48153
tile_185_level0_0-94720-512-95232.png,0,94720,0,0.44113
tile_186_level0_0-95232-512-95744.png,0,95232,0,0.45299
tile_187_level0_0-95744-512-96256.png,0,95744,0,0.47254
tile_188_level0_0-96256-512-96768.png,0,96256,0,0.54616
tile_189_level0_0-96768-512-97280.png,0,96768,0,0.49542
tile_190_level0_0-97280-512-97792.png,0,97280,0,0.69712
tile_191_level0_0-97792-512-98304.png,0,97792,0,0.44948
tile_192_level0_512-0-1024-512.png,512,0,0,0.49860
tile_193_level0_512-512-1024-1024.png,512,512,0,0.52240
tile_194_level0_512-1024-1024-1536.png,512,1024,0,0.56281
tile_195_level0_512-1536-1024-2048.png,512,1536,0,0.54185
tile_196_level0_512-2048-1024-2560.png,512,2048,0,0.54823
tile_197_level0_512-2560-1024-3072.png,512,2560,0,0.53547
