tile,x,y,prediction,confidence
gridHE__20211011_160350_(3)tile_3625_level1_69632-78848-70656-79872.png,69632,78848,1,0.56027
gridHE__20211011_160350_(3)tile_3238_level1_64512-37888-65536-38912.png,64512,37888,0,0.53252
gridHE__20211011_160350_(3)tile_1921_level1_44032-73728-45056-74752.png,44032,73728,1,0.54864
gridHE__20211011_160350_(3)tile_353_level1_16384-16384-17408-17408.png,16384,16384,0,0.79784
gridHE__20211011_160350_(3)tile_1814_level1_43008-30720-44032-31744.png,43008,30720,0,0.51069
gridHE__20211011_160350_(3)tile_4212_level1_84992-36864-86016-37888.png,84992,36864,0,0.90713
gridHE__20211011_160350_(3)tile_2856_level1_59392-8192-60416-9216.png,59392,8192,0,0.51962
gridHE__20211011_160350_(3)tile_673_level1_22528-56320-23552-57344.png,22528,56320,0,0.69598
gridHE__20211011_160350_(3)tile_2598_level1_55296-30720-56320-31744.png,55296,30720,2,0.39354
gridHE__20211011_160350_(3)tile_383_level1_16384-47104-17408-48128.png,16384,47104,0,0.98230
gridHE__20211011_160350_(3)tile_934_level1_27648-43008-28672-44032.png,27648,43008,2,0.39804
gridHE__20211011_160350_(3)tile_4171_level1_81920-73728-82944-74752.png,81920,73728,2,0.46468
gridHE__20211011_160350_(3)tile_2930_level1_60416-10240-61440-11264.png,60416,10240,0,0.88753
gridHE__20211011_160350_(3)tile_2660_level1_56320-24576-57344-25600.png,56320,24576,0,0.89345
gridHE__20211011_160350_(3)tile_2360_level1_51200-65536-52224-66560.png,51200,65536,0,0.98020
gridHE__20211011_160350_(3)tile_42_level1_7168-24576-8192-25600.png,7168,24576,0,0.93953
gridHE__20211011_160350_(3)tile_3581_level1_69632-30720-70656-31744.png,69632,30720,0,0.57108
gridHE__20211011_160350_(3)tile_3402_level1_66560-64512-67584-65536.png,66560,64512,1,0.67974
gridHE__20211011_160350_(3)tile_4038_level1_77824-76800-78848-77824.png,77824,76800,1,0.48274
gridHE__20211011_160350_(3)tile_1100_level1_30720-33792-31744-34816.png,30720,33792,0,0.77196
gridHE__20211011_160350_(3)tile_3086_level1_62464-25600-63488-26624.png,62464,25600,0,0.90477
gridHE__20211011_160350_(3)tile_3370_level1_66560-25600-67584-26624.png,66560,25600,1,0.75872
gridHE__20211011_160350_(3)tile_820_level1_25600-39936-26624-40960.png,25600,39936,0,0.65723
gridHE__20211011_160350_(3)tile_3805_level1_72704-57344-73728-58368.png,72704,57344,0,0.69949
gridHE__20211011_160350_(3)tile_1683_level1_40960-18432-41984-19456.png,40960,18432,0,0.64368
gridHE__20211011_160350_(3)tile_413_level1_17408-29696-18432-30720.png,17408,29696,0,0.90862
gridHE__20211011_160350_(3)tile_595_level1_21504-30720-22528-31744.png,21504,30720,0,0.97877
gridHE__20211011_160350_(3)tile_3133_level1_62464-75776-63488-76800.png,62464,75776,1,0.65702
gridHE__20211011_160350_(3)tile_3599_level1_69632-49152-70656-50176.png,69632,49152,0,0.90506
gridHE__20211011_160350_(3)tile_680_level1_22528-63488-23552-64512.png,22528,63488,0,0.99877
gridHE__20211011_160350_(3)tile_1289_level1_33792-48128-34816-49152.png,33792,48128,0,0.59032
gridHE__20211011_160350_(3)tile_700_level1_23552-28672-24576-29696.png,23552,28672,0,0.91930
gridHE__20211011_160350_(3)tile_1785_level1_41984-66560-43008-67584.png,41984,66560,1,0.41235
gridHE__20211011_160350_(3)tile_394_level1_16384-58368-17408-59392.png,16384,58368,0,0.99353
gridHE__20211011_160350_(3)tile_3947_level1_75776-69632-76800-70656.png,75776,69632,1,0.87132
gridHE__20211011_160350_(3)tile_2494_level1_53248-67584-54272-68608.png,53248,67584,1,0.66287
gridHE__20211011_160350_(3)tile_1624_level1_39936-22528-40960-23552.png,39936,22528,1,0.68433
gridHE__20211011_160350_(3)tile_1408_level1_35840-47104-36864-48128.png,35840,47104,1,0.59160
gridHE__20211011_160350_(3)tile_3216_level1_64512-12288-65536-13312.png,64512,12288,0,0.51840
gridHE__20211011_160350_(3)tile_3010_level1_61440-19456-62464-20480.png,61440,19456,2,0.64682
gridHE__20211011_160350_(3)tile_3428_level1_67584-18432-68608-19456.png,67584,18432,0,0.99653
gridHE__20211011_160350_(3)tile_1004_level1_28672-56320-29696-57344.png,28672,56320,1,0.75500
gridHE__20211011_160350_(3)tile_535_level1_20480-20480-21504-21504.png,20480,20480,0,0.68973
gridHE__20211011_160350_(3)tile_3047_level1_61440-58368-62464-59392.png,61440,58368,0,0.88330
gridHE__20211011_160350_(3)tile_2318_level1_51200-22528-52224-23552.png,51200,22528,1,0.48507
gridHE__20211011_160350_(3)tile_1446_level1_36864-24576-37888-25600.png,36864,24576,0,0.83820
gridHE__20211011_160350_(3)tile_3313_level1_65536-41984-66560-43008.png,65536,41984,0,0.70406
gridHE__20211011_160350_(3)tile_504_level1_19456-38912-20480-39936.png,19456,38912,0,0.99497
gridHE__20211011_160350_(3)tile_3201_level1_63488-70656-64512-71680.png,63488,70656,1,0.35905
gridHE__20211011_160350_(3)tile_1248_level1_32768-66560-33792-67584.png,32768,66560,0,0.68143
gridHE__20211011_160350_(3)tile_1968_level1_45056-55296-46080-56320.png,45056,55296,1,0.94258
gridHE__20211011_160350_(3)tile_2099_level1_47104-60416-48128-61440.png,47104,60416,0,0.48461
gridHE__20211011_160350_(3)tile_1045_level1_29696-37888-30720-38912.png,29696,37888,0,0.66508
gridHE__20211011_160350_(3)tile_113_level1_9216-43008-10240-44032.png,9216,43008,0,0.99052
gridHE__20211011_160350_(3)tile_2469_level1_53248-39936-54272-40960.png,53248,39936,1,0.61090
gridHE__20211011_160350_(3)tile_2496_level1_53248-69632-54272-70656.png,53248,69632,1,0.97491
gridHE__20211011_160350_(3)tile_877_level1_26624-41984-27648-43008.png,26624,41984,2,0.37178
gridHE__20211011_160350_(3)tile_2764_level1_57344-60416-58368-61440.png,57344,60416,0,0.83143
gridHE__20211011_160350_(3)tile_3191_level1_63488-60416-64512-61440.png,63488,60416,1,0.66147
gridHE__20211011_160350_(3)tile_3007_level1_61440-16384-62464-17408.png,61440,16384,0,0.52797
gridHE__20211011_160350_(3)tile_3788_level1_72704-38912-73728-39936.png,72704,38912,1,0.62437
gridHE__20211011_160350_(3)tile_2417_level1_52224-55296-53248-56320.png,52224,55296,0,0.56979
